title,price,rating
"Crucial 64GB DDR4 RAM Kit (2x32GB), 3200MHz (PC4-25600) CL22 Laptop Memory, SODIMM 260-Pin, Downclockable to 2933/2666MHz, Compatible with 13th Gen Intel Core and AMD Ryzen 7000 - CT2K32G4SFD832A","LKR142,839.27",4.8 out of 5 stars
TEAMGROUP T-Force Delta RGB DDR4 16GB (2x8GB) 3600MHz (PC4-28800) CL18 Desktop Gaming Memory Module Ram TF4D416G3600HC18JDC01 - White,"LKR46,399.41",4.8 out of 5 stars
Patriot Viper 3 DDR3 RAM 16GB (2X8GB) 1600MHz CL10 1.5v UDIMM Desktop Gaming Memory Kit Compatible with XMP - PV316G160C0K,"LKR17,939.21",4.7 out of 5 stars
G.SKILL RipjawsV Series DDR4 RAM (XMP) 16GB (2x8GB) 3200MT/s CL16-18-18-38 1.35V Intel AMD Desktop Computer Memory U-DIMM - Black (F4-3200C16D-16GVKB),Not Available,4.7 out of 5 stars
"MMOMENT DDR5 UDIMM 32GB 5600Mhz (PC5-44800) Desktop Memory Module Ram (CL46, Non-ECC Unbuffered, 1.1V, 288 Pin)","LKR123,736.91",4.3 out of 5 stars
LinkMore 32GB Kit (2 x 16GB) DDR4 3200MH SODIMM (PC4-25600) CL22 1.2V Laptop Memory Module,"LKR74,240.91",4.3 out of 5 stars
Kingston FURY Beast RGB 64GB (2x32GB) 6400MT/s DDR5 CL32 Desktop Memory | AMD EXPO | Kit of 2 | KF564C32BBEAK2-64,"LKR305,879.09",4.8 out of 5 stars
768GB 8X96GB DDR5 5600MHZ PC5-44800 2Rx4 1.1V CL46 288-PIN ECC Registered RDIMM NEMIX RAM Server Memory KIT Compatible with Dell PowerEdge XE9685L Rack Server,"LKR7,142,888.41",Previous page of related Sponsored Products
NEMIX RAM 768GB (12X64GB) DDR5 4800MHZ PC5-38400 2Rx4 1.1V CL40 288-PIN ECC RDIMM Registered Server Memory KIT Compatible with Dell PowerEdge R7625 Rack Server,"LKR7,022,241.91",Previous page of related Sponsored Products
G.SKILL Ripjaws S5 Series DDR5 RAM (Intel XMP 3.0 & AMD Expo) 32GB (2x16GB) 6000MT/s CL36-36-36-96 1.35V Desktop Computer Memory U-DIMM - Matte Black (F5-6000J3636F16GX2-RS5K),"LKR149,409.86",4.7 out of 5 stars
Kingston Fury Beast 8GB 3200MHz DDR4 CL16 Desktop Memory Single Module KF432C16BB/8,Not Available,4.7 out of 5 stars
CORSAIR Vengeance SODIMM DDR5 RAM 32GB (1x32GB) 5600MHz CL48 Intel XMP iCUE Compatible Computer Memory - Black (CMSX32GX5M1A5600C48),"LKR101,961.76",4.7 out of 5 stars
CORSAIR Vengeance RGB RS DDR5 RAM 64GB (2x32GB) 6000MHz CL40-50-50-96 1.35V AMD EXPO Intel XMP Computer Desktop Memory – Gray (CMG64GX5M2D6000Z40),"LKR286,764.36",1.0 out of 5 stars
TEAMGROUP T-Force Vulcan DDR5 32GB (2x16GB) 6000MHz (PC5-48000) CL38 Desktop Memory Module Ram (Black) for Chipset 600 700 Series XMP 3.0 Ready - FLBD532G6000HC38ADC01,"LKR145,391.41",4.7 out of 5 stars
NEMIX RAM 64GB (2X32GB) DDR4 2666MHZ PC4-21300 2Rx8 1.2V CL19 288-PIN ECC Unbuffered UDIMM Memory KIT,"LKR177,873.16",4.8 out of 5 stars
Timetec Premium 8GB DDR4 2666MHz PC4-21300 Non-ECC Unbuffered 1.2V CL19 1Rx8 Single Rank 288 Pin UDIMM Desktop PC Computer Memory RAM Upgrade (8GB),"LKR20,414.01",4.7 out of 5 stars
